"id","age","female","educ","educ3","marital","union","ses","income","relig","bornswe","foreignpar","urban","county","land","polint","inteff","dem_pref","dem_courts","dem_strong","dem_women","run_business","run_experts","run_referenda","demlevel","tr_parl","tr_govt","tr_court","tr_sci","tr_party","tr_media","tr_socmed","govperf","govcovid","econ","satvote","satchoice","satdem","fair","exteff","fairgroups","health","pand_unity","pand_dem","pand_fin","covid","news_tv","news_web","news_soc","like_s","like_sd","like_m","like_v","like_c","like_kd","like_mp","like_l","lead_andersson","lead_akesson","lead_kristersson","lead_dadgostar","lead_loof","lead_busch","lead_stenevi","lead_pehrson","lr_s","lr_sd","lr_m","lr_v","lr_c","lr_kd","lr_mp","lr_l","lr_self","turnout","vote","prevvote","switched","bloc","vote_sd","vote_right","vote_inc","pid","pid_close","wt"
"0000001535",57,0,2,"No degree","Married",0,"Worker",4,1,0,1,1,"Västra Götaland","Götaland",2,4,5,4,4,3,1,1,1,10,3,3,2,2,2,2,1,3,4,3,,2,4,5,5,2,2,3,3,3,1,7,7,0,7,4,5,5,5,5,5,5,6,0,4,4,5,3,5,5,0,10,10,0,10,10,5,10,2,0,,,,,,,,0,2,1.5282
"0000002519",19,1,4,"No degree","Single",0,"Worker",1,1,1,0,3,"Värmland","Svealand",4,5,5,3,1,1,1,4,2,9,3,3,4,2,,3,3,3,4,3,4,4,4,5,5,1,2,4,4,3,1,7,1,7,8,0,1,10,6,1,9,5,9,0,3,9,9,4,10,3,4,8,9,0,5,10,2,6,0,1,"V",,,"Left",0,0,0,1,3,1.7726
"0000001540",53,0,6,"No degree","Married",0,"Self-employed",4,1,1,0,1,"Kalmar","Götaland",4,5,5,3,5,5,4,1,2,9,4,1,2,2,3,2,1,1,4,1,4,4,4,5,5,3,3,5,5,3,1,3,7,0,6,10,7,1,3,8,0,5,3,10,7,1,1,8,0,5,3,9,8,0,3,8,0,5,9,1,"SD","SD",0,"Right",1,1,0,1,3,1.1008
"0000001542",27,0,4,"No degree","Single",1,"Worker",4,1,1,0,2,"Stockholm","Svealand",3,5,5,3,3,3,4,4,4,10,3,1,2,3,3,3,2,1,3,1,,3,3,5,5,3,3,3,4,3,1,0,2,7,5,9,10,0,2,8,0,7,2,10,10,0,3,9,0,8,4,9,7,0,2,8,1,6,8,1,"M","M",0,"Right",0,1,0,1,2,2.1412
"0000000317",42,0,8,"Postgraduate","Married",1,"White collar",5,2,1,0,1,"Skåne","Götaland",4,4,4,5,1,1,1,2,2,9,3,3,4,4,3,4,2,3,3,1,3,4,4,5,5,3,2,2,3,4,1,0,7,7,7,0,1,3,8,0,9,1,8,0,1,7,9,0,7,0,4,7,9,1,7,10,4,8,3,1,"MP","MP",0,"Left",0,0,0,1,1,0.7712
"0000001006",55,1,4,"No degree","Single",0,"White collar",5,2,1,0,1,"Östergötland","Götaland",2,4,5,4,4,3,2,2,2,10,4,4,3,3,3,3,2,3,3,3,3,3,4,5,,3,3,2,3,3,0,6,3,7,1,6,9,0,9,10,0,6,7,7,9,1,9,9,2,7,2,8,10,0,8,10,0,5,8,1,"KD","C",1,"Right",0,1,0,1,1,1.1901
"0000002833",73,1,3,"No degree","Married",0,"White collar",4,3,1,0,1,"Halland","Götaland",3,4,5,1,3,3,,,,,,,,,,,,,,2,,,1,5,2,3,2,3,3,4,1,7,7,0,3,6,7,0,0,10,0,5,7,7,5,2,0,9,0,5,4,10,9,0,3,9,0,7,8,,,"KD",,,,,,1,2,0.7489
"0000001547",31,0,3,"No degree","Single",0,"Worker",3,2,1,0,2,"Stockholm","Svealand",2,4,5,4,4,3,2,4,4,7,3,2,3,3,2,2,2,1,2,1,3,3,3,4,4,4,3,3,2,3,1,0,1,4,5,9,9,1,1,9,0,6,5,9,9,1,0,10,0,5,5,10,9,0,4,7,0,8,9,1,"M","M",0,"Right",0,1,0,1,2,1.6791
"0000001898",77,0,2,"No degree","Divorced",0,,1,3,1,0,1,"Skåne","Götaland",3,3,3,3,3,3,4,4,4,3,2,2,2,2,2,2,2,3,3,4,3,3,1,3,1,3,4,4,4,4,0,1,1,1,7,7,7,7,7,7,7,7,9,7,6,8,7,6,8,7,3,4,5,4,6,6,3,5,,1,"S",,,"Left",0,0,1,0,2,1.1092
"0000001671",60,0,5,"No degree","Divorced",1,"Worker",2,1,1,0,2,"Västra Götaland","Götaland",2,4,5,1,2,3,1,1,2,8,3,2,3,3,2,3,1,3,4,1,3,2,3,5,5,1,3,3,4,3,1,3,7,0,10,0,2,8,7,2,8,4,10,0,2,7,8,0,6,5,3,10,9,1,6,9,3,8,3,1,"S","S",0,"Left",0,0,1,1,2,0.91
