"F1003_2","F1004","F1006_NAM","F1101_2","F2001_A","F2002","F2003","F2004","F2005","F2006","F2008","F2009","F2010_1","F2012","F2015","F2016","F2018","F2020","F3001","F3002_1","F3002_5","F3002_6_1","F3003","F3004_1","F3004_2","F3004_3","F3004_4","F3005_1","F3005_2","F3005_3","F3006","F3007_1","F3007_2","F3007_3","F3007_4","F3007_5","F3007_6","F3007_7","F3008_1","F3008_2","F3009","F3010","F3011_LH_PL","F3011_OUTGOV","F3012_1","F3013","F3014","F3015_LH","F3016_LH_PL","F3017","F3018_A","F3018_B","F3018_C","F3018_D","F3018_E","F3018_F","F3018_G","F3018_H","F3019_A","F3019_B","F3019_C","F3019_D","F3019_E","F3019_F","F3019_G","F3019_H","F3020_A","F3020_B","F3020_C","F3020_D","F3020_E","F3020_F","F3020_G","F3020_H","F3020_R","F3022","F3023_1","F3023_4","F3026","F3027","F3028_1","F3028_2","F3028_3","F3028_4"
"0000000511","SWE_2022","Sweden",0.7658,62,1,7,4,0,7,1,1,3,1,752,0,1,3,1,7,7,0,2,1,4,3,5,5,5,5,9,2,2,2,2,3,2,4,3,3,5,1,999999,999999,9,1,1,1,999999,4,6,0,8,0,6,5,1,8,10,1,8,5,5,5,5,7,4,10,8,0,6,8,1,7,8,1,1,2,2,2,9,9,9,0
"0000001134","SWE_2022","Sweden",1.1901,59,1,4,1,1,1,2,1,2,1,752,0,14,1,1,7,7,0,1,1,5,5,5,5,2,4,10,1,9,3,1,9,2,4,1,2,2,1,999999,999999,9,1,1,1,752007,5,10,0,0,9,8,0,10,5,10,0,0,8,8,0,10,1,2,10,10,0,4,10,1,9,1,2,1,1,3,4,3,2,3,1
"0000000500","SWE_2022","Sweden",1.275,34,0,99,1,9,99,9,9,9,9,752,1,1,9,2,3,7,4,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,9,9,9,99,999999,999999,9,9,9,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9
"0000002750","SWE_2022","Sweden",1.0469,69,0,2,4,1,7,9,1,1,9,752,0,22,2,3,1,99,99,1,9,9,9,1,5,9,9,9,4,9,9,9,9,9,9,2,2,2,1,752001,1,4,5,2,1,752001,5,7,99,99,99,99,99,99,99,8,99,99,99,99,99,99,99,7,99,99,99,99,99,99,99,99,5,0,2,2,1,2,9,9,0
"0000001297","SWE_2022","Sweden",1.6674,37,1,4,4,1,1,2,1,4,1,752,0,21,2,2,4,7,7,2,1,2,3,3,3,3,3,8,2,2,1,2,2,2,3,3,2,5,1,752006,0,1,2,2,1,752006,4,6,7,8,1,4,9,1,5,7,7,8,2,1,9,5,6,3,10,7,1,3,9,0,6,7,2,0,2,2,2,2,2,3,1
"0000001973","SWE_2022","Sweden",0.7489,81,1,3,1,0,7,2,9,2,2,752,0,13,1,2,6,7,6,2,1,5,2,3,5,5,5,5,3,3,4,2,3,2,3,2,2,4,1,752005,0,2,2,2,1,752005,3,5,0,4,0,7,4,5,6,6,0,5,99,7,0,0,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,2,2,3,1
"0000002611","SWE_2022","Sweden",0.8153,66,1,4,4,9,7,1,2,2,1,752,0,8,1,3,6,1,1,2,1,2,4,5,5,1,2,8,1,1,2,1,3,2,4,1,1,2,1,752001,1,2,2,1,1,752004,4,10,0,6,10,7,1,9,3,10,0,1,9,0,0,10,8,2,10,9,0,5,8,2,8,1,2,0,2,2,2,1,2,3,0
"0000001823","SWE_2022","Sweden",1.1092,68,0,3,3,0,7,2,2,3,2,752,0,12,2,3,2,0,1,2,1,1,2,2,5,5,2,10,1,2,2,1,2,3,3,3,3,4,99,999999,999999,9,2,1,1,999999,5,4,9,9,2,1,4,0,2,4,9,9,2,1,4,0,2,2,8,10,0,2,7,0,6,7,2,0,9,2,2,3,3,4,0
"0000002323","SWE_2022","Sweden",1.7726,21,1,4,4,0,6,9,9,5,1,752,1,13,3,2,7,0,7,2,1,2,5,5,5,2,2,6,1,2,4,1,2,2,3,3,3,4,1,752004,0,1,1,2,0,999999,5,4,0,1,9,5,0,7,5,7,0,1,10,6,0,7,4,5,10,9,1,7,9,1,8,2,4,1,1,3,3,4,4,3,1
"0000000126","SWE_2022","Sweden",0.7658,60,1,8,1,1,1,1,1,5,1,752,0,12,2,2,7,7,0,2,1,1,5,5,5,4,5,9,2,3,1,1,3,1,4,2,2,4,1,752005,0,4,1,1,1,752003,5,6,0,7,2,7,0,2,7,7,0,5,2,7,0,2,6,4,9,10,0,5,10,3,7,7,2,0,3,2,4,5,3,3,8
