"iso3","country","region","income","lit_f","lit_m","lit_year","gdp","life","women","pop"
"TKM","Turkmenistan","Europe & Central Asia","Upper middle income",99.9,99.9,2022,18471,70.2,25.6,7494498
"TUV","Tuvalu","East Asia & Pacific","Upper middle income",100,100,2022,5592,67.3,0,9646
"UGA","Uganda","Sub-Saharan Africa ","Low income",73.5,81.3,2024,2880,68.5,33.9,50015092
"ARE","United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",98.4,99,2024,69702,83.1,50,10986400
"URY","Uruguay","Latin America & Caribbean ","High income",99.2,98.6,2024,32149,78.3,28.3,3386588
"UZB","Uzbekistan","Europe & Central Asia","Lower middle income",100,100,2022,10997,72.5,38,36361859
"VUT","Vanuatu","East Asia & Pacific","Lower middle income",88.2,87.7,2023,3837,71.7,2,327777
"VEN","Venezuela, RB","Latin America & Caribbean ","Lower middle income",97.2,97.2,2017,NA,72.7,22.2,28405543
"VNM","Viet Nam","East Asia & Pacific","Upper middle income",95.1,97.2,2022,14396,74.7,30.6,100987686
"PSE","West Bank and Gaza","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",96.8,99.4,2024,4191,69.2,NA,5289152
"ZMB","Zambia","Sub-Saharan Africa ","Lower middle income",64.4,80.6,2024,3708,66.5,15,21314956
"ZWE","Zimbabwe","Sub-Saharan Africa ","Lower middle income",93.4,93.1,2019,5212,63.1,28.1,16634373
